43,4,.0370
54,4,.0833
133,6,.1053
75,8,.0204
129,8,.0417
160,8,.0714
179,10,.0455
189,10,.0500
34,11,.0625
54,12,.0833
72,12,.0638
76,12,.0412
129,12,.0417
129,12,.0417
133,12,.0526
150,12,.0152
189,12,.0500
190,12,.0222
203,12,.0450
205,12,.0500
247,12,.0617
24,13,.0714
33,13,.1538
34,13,.0625
43,13,.0370
50,13,.1172
67,13,.0949
72,13,.0213
75,13,.0204
76,13,.0103
78,13,.4000
97,13,.7773
122,13,.1471
128,13,.6800
134,13,.3158
140,13,.0968
150,13,.0859
160,13,.0714
161,13,.7867
168,13,.0833
179,13,.0455
190,13,.1556
203,13,.0811
205,13,.2000
207,13,.0625
208,13,.0975
211,13,.1583
247,13,.0123
248,13,.0204
207,15,.0625
43,18,.0370
72,18,.0213
75,18,.0204
76,18,.0103
78,18,.0667
160,18,.0714
179,18,.0455
190,18,.0222
207,21,.0312
75,22,.0204
190,22,.0222
61,24,.0500
122,24,.0588
205,24,.1000
43,25,.0741
190,25,.0222
205,25,.0500
72,26,.0213
247,26,.0247
66,27,.0769
76,28,.0103
122,28,.0294
189,28,.1500
247,28,.0247
12,31,.0323
179,31,.0455
189,31,.0500
203,31,.0180
97,33,.0168
134,33,.2105
67,34,.0163
190,34,.0444
196,34,.0833
248,36,.0204
122,39,.0294
189,39,.0500
34,41,.0625
54,43,.0833
76,43,.0103
78,43,.0667
122,43,.0294
190,43,.0444
205,43,.1000
207,43,.0312
208,43,.0155
211,43,.0104
145,44,.0370
75,46,.0204
160,46,.0714
207,46,.0312
207,48,.0312
12,49,.0323
13,50,.0379
67,50,.0244
75,50,.0816
76,50,.0103
97,50,.0294
133,50,.0526
140,50,.7419
145,50,.0741
150,50,.0303
161,50,.0467
175,50,.6667
203,50,.1081
207,50,.1250
208,50,.0275
211,50,.1913
247,50,.0123
248,50,.0408
75,51,.0204
76,51,.0103
150,51,.0101
190,51,.0222
248,51,.0204
34,53,.0625
12,54,.0323
43,54,.0370
72,54,.0213
75,54,.0816
76,54,.0103
133,54,.0526
145,54,.0741
248,54,.0204
76,58,.0103
129,58,.0417
150,59,.0101
168,60,.0833
24,61,.0714
76,61,.0103
160,61,.0714
208,61,.0106
43,62,.0370
122,63,.0294
189,63,.0500
140,66,.0516
175,66,.0417
211,66,.0209
13,67,.0442
34,67,.3750
50,67,.0352
54,67,.0833
72,67,.0213
75,67,.0204
121,67,.0769
129,67,.0417
145,67,.0741
150,67,.0606
161,67,.0367
179,67,.0455
190,67,.2667
202,67,.1429
203,67,.0270
205,67,.0500
207,67,.0625
208,67,.0219
211,67,.0348
247,67,.0247
248,67,.0204
33,68,.0769
247,71,.0123
12,72,.0968
54,72,.0833
76,72,.0825
129,72,.2083
179,72,.0455
207,72,.0312
208,72,.0120
247,72,.1235
75,74,.0204
248,74,.0204
50,75,.0156
54,75,.3333
76,75,.0103
133,75,.0526
145,75,.1852
160,75,.0714
207,75,.0312
208,75,.0141
211,75,.0174
248,75,.0816
12,76,.1290
43,76,.0370
54,76,.0833
61,76,.0500
72,76,.1702
75,76,.0204
78,76,.0667
129,76,.4167
133,76,.0526
150,76,.0505
160,76,.1429
189,76,.1000
190,76,.0444
203,76,.0180
208,76,.0332
211,76,.0139
247,76,.1852
43,78,.0370
76,78,.0103
161,78,.0167
190,78,.0222
133,82,.0526
207,83,.0312
175,86,.0417
179,91,.0455
247,91,.0123
207,94,.0312
13,97,.2336
33,97,.3077
50,97,.0273
78,97,.0667
122,97,.0588
128,97,.0800
134,97,.5789
140,97,.0258
150,97,.0152
160,97,.0714
161,97,.3033
190,97,.0222
203,97,.0270
205,97,.2500
208,97,.0395
211,97,.0452
248,97,.0204
179,98,.0455
202,99,.1429
78,100,.0667
97,100,.0252
43,103,.0370
76,104,.0103
129,104,.0417
247,104,.0123
133,106,.0526
43,107,.0370
61,107,.0500
129,107,.0417
133,107,.1053
24,108,.0714
207,109,.0312
122,112,.0294
12,113,.0323
76,113,.0103
12,115,.0645
189,115,.1000
247,115,.0123
78,116,.0667
168,120,.0833
24,122,.1429
43,122,.0370
128,122,.0400
168,122,.0833
189,122,.0500
190,122,.0222
196,122,.0833
203,122,.0180
205,122,.0500
133,123,.0526
43,124,.0370
75,127,.0204
145,127,.0370
248,127,.0204
13,128,.0215
122,128,.0294
161,128,.0400
190,128,.0222
12,129,.0323
72,129,.1064
76,129,.1031
133,129,.0526
203,129,.0180
247,129,.0617
207,131,.0312
12,133,.0323
54,133,.0833
75,133,.0204
76,133,.0103
129,133,.0417
145,133,.0370
190,133,.0444
205,133,.0500
211,133,.0157
248,133,.0408
33,134,.3077
97,134,.0462
161,134,.0133
175,136,.0417
150,139,.0101
13,140,.0189
50,140,.4492
66,140,.6154
75,140,.0204
97,140,.0168
133,140,.0526
145,140,.0741
150,140,.0152
161,140,.0133
175,140,.5417
203,140,.0450
207,140,.0625
208,140,.0148
211,140,.1426
248,140,.0204
150,141,.0101
175,142,.0417
54,145,.1667
75,145,.1020
133,145,.0526
140,145,.0129
248,145,.1429
145,147,.0370
140,148,.0129
12,150,.0968
13,150,.0215
34,150,.0625
50,150,.0234
66,150,.0769
67,150,.0325
72,150,.0213
75,150,.0204
76,150,.1031
97,150,.0126
121,150,.0769
122,150,.0294
129,150,.0417
140,150,.0194
160,150,.0714
161,150,.0167
168,150,.0833
179,150,.0455
190,150,.0667
203,150,.0180
205,150,.0500
207,150,.0312
208,150,.0367
211,150,.0174
247,150,.0123
248,150,.0408
76,151,.0206
122,151,.0294
179,151,.0455
189,151,.0500
247,151,.0247
133,152,.0526
12,155,.0323
43,156,.0370
54,156,.0833
179,159,.0455
61,160,.0500
75,160,.0204
76,160,.0206
247,160,.0123
13,161,.2980
33,161,.2308
43,161,.0370
50,161,.0547
67,161,.0298
72,161,.0213
78,161,.3333
97,161,.3824
99,161,.0714
128,161,.4800
134,161,.2105
140,161,.0258
150,161,.0253
160,161,.0714
190,161,.0667
202,161,.0714
203,161,.0450
205,161,.1000
208,161,.0325
211,161,.0539
179,162,.0455
168,165,.0833
43,167,.1111
122,168,.0294
207,172,.0312
50,175,.0625
66,175,.0769
140,175,.0839
211,175,.0348
75,176,.0612
248,176,.0204
72,179,.0213
189,179,.0500
133,184,.0526
179,184,.0455
43,188,.0370
190,188,.0222
205,188,.0500
12,189,.0323
76,189,.0206
122,189,.0294
179,189,.0455
208,189,.0127
247,189,.0617
12,190,.0323
34,190,.1250
43,190,.0741
67,190,.0325
76,190,.0206
78,190,.0667
122,190,.0294
128,190,.0400
133,190,.1053
150,190,.0152
196,190,.0833
205,190,.2000
208,190,.0177
248,190,.0408
76,192,.0103
247,192,.0123
12,193,.0323
34,196,.0625
122,196,.0294
190,196,.0222
12,198,.0323
54,198,.0833
72,198,.0851
76,198,.0103
247,198,.0247
72,199,.0213
99,202,.1429
12,203,.1613
13,203,.0114
50,203,.0469
72,203,.0213
76,203,.0206
97,203,.0126
122,203,.0588
129,203,.0833
140,203,.0323
145,203,.0370
150,203,.0101
161,203,.0167
189,203,.0500
202,203,.0714
208,203,.0261
211,203,.0139
247,203,.0741
12,205,.0323
24,205,.1429
43,205,.0741
97,205,.0210
122,205,.0294
133,205,.0526
190,205,.0889
207,205,.0312
208,205,.0113
43,207,.0370
50,207,.0156
72,207,.0213
75,207,.0204
140,207,.0129
205,207,.0500
248,207,.0204
12,208,.4194
13,208,.1742
24,208,.1429
33,208,.0769
34,208,.1875
43,208,.8148
50,208,.1523
54,208,.3333
61,208,.7500
66,208,.2308
67,208,.0840
72,208,.3617
75,208,.4082
76,208,.4845
78,208,.0667
97,208,.2353
99,208,.1429
121,208,.4615
122,208,.2647
128,208,.2000
129,208,.4583
133,208,.7368
134,208,.3684
140,208,.1355
145,208,.2963
150,208,.2626
160,208,.6429
161,208,.1533
168,208,.4167
175,208,.2500
179,208,.2273
189,208,.9000
190,208,.5556
196,208,.0833
202,208,.2857
203,208,.3333
205,208,.8000
207,208,.2500
211,208,.3496
247,208,.3951
248,208,.2653
13,211,.1149
24,211,.1429
33,211,.0769
34,211,.0625
43,211,.2222
50,211,.4297
54,211,.0833
61,211,.1000
66,211,.9231
67,211,.0542
72,211,.1064
75,211,.2041
76,211,.0825
78,211,.2667
97,211,.1092
122,211,.0588
129,211,.1250
133,211,.4737
134,211,.1579
140,211,.5290
145,211,.1852
150,211,.0505
160,211,.0714
161,211,.1033
175,211,.8333
179,211,.0909
189,211,.2000
190,211,.0667
203,211,.0721
205,211,.1000
207,211,.1562
208,211,.1419
247,211,.1235
248,211,.2041
168,215,.1667
72,216,.0426
122,216,.0294
24,218,.0714
207,218,.0312
76,219,.0103
189,219,.0500
189,222,.0500
78,223,.0667
207,223,.0312
76,224,.0103
189,224,.1000
247,224,.0123
75,226,.0204
248,226,.0204
207,229,.0312
247,229,.0123
133,237,.0526
179,238,.0455
66,240,.0769
160,241,.0714
133,245,.0526
12,247,.1613
72,247,.2128
76,247,.1546
129,247,.2083
160,247,.0714
189,247,.2500
203,247,.0541
208,247,.0226
211,247,.0174
54,248,.0833
75,248,.0816
133,248,.1053
145,248,.2593
150,248,.0101
190,248,.0444
207,248,.0312
211,248,.0174
76,250,.0206
133,250,.0526
179,250,.0455
189,250,.0500
247,250,.0123
43,252,.0370
54,252,.0833
160,252,.0714
